Date,Price
5/5/2015,1196.1
6/5/2015,1189.5
7/5/2015,1183.44
8/5/2015,1185.2
11/5/2015,1184.61
12/5/2015,1191.4
13/5/2015,1214.35
14/5/2015,1221
15/5/2015,1221.99
18/5/2015,1228.05
19/5/2015,1208.45
20/5/2015,1211.15
21/5/2015,1206.38
22/5/2015,1206.2
25/5/2015,1205.84
26/5/2015,1189.34
27/5/2015,1186.3
28/5/2015,1189.3
29/5/2015,1189.97
1/6/2015,1195.74
2/6/2015,1192.09
3/6/2015,1190.8
4/6/2015,1174.4
5/6/2015,1169.53
8/6/2015,1171.05
9/6/2015,1177.07
10/6/2015,1188.15
11/6/2015,1178.4
12/6/2015,1182.34
15/6/2015,1181.69
16/6/2015,1178.19
17/6/2015,1176.71
18/6/2015,1204.35
19/6/2015,1200.22
22/6/2015,1185.02
23/6/2015,1178.2
24/6/2015,1173.98
25/6/2015,1173.68
26/6/2015,1171.01
29/6/2015,1178.94
30/6/2015,1169.35
1/7/2015,1170.4
2/7/2015,1163.4
3/7/2015,1167.19
6/7/2015,1167.05
7/7/2015,1152.65
8/7/2015,1160.78
9/7/2015,1164.09
10/7/2015,1161.2
13/7/2015,1154.43
14/7/2015,1155.55
15/7/2015,1146.76
16/7/2015,1144.45
17/7/2015,1132.32
20/7/2015,1110.44
21/7/2015,1107.65
22/7/2015,1092.63
23/7/2015,1092.63
24/7/2015,1083.9
27/7/2015,1097.65
28/7/2015,1095.24
29/7/2015,1095.05
30/7/2015,1094.4
31/7/2015,1094.3
3/8/2015,1092.19
4/8/2015,1092.59
5/8/2015,1085.63
6/8/2015,1090.15
7/8/2015,1096.85
10/8/2015,1103.35
11/8/2015,1109.67
12/8/2015,1123.85
13/8/2015,1116.13
14/8/2015,1114.88
17/8/2015,1118.69
18/8/2015,1115.99
19/8/2015,1128.59
20/8/2015,1148.95
21/8/2015,1158.05
24/8/2015,1160.09
25/8/2015,1135
26/8/2015,1123.78
27/8/2015,1122.99
28/8/2015,1135.48
31/8/2015,1130.69
1/9/2015,1140.67
2/9/2015,1134.44
3/9/2015,1124.13
4/9/2015,1120.97
7/9/2015,1118.55
8/9/2015,1122.69
9/9/2015,1110.13
10/9/2015,1110.72
11/9/2015,1100.3
14/9/2015,1107.34
15/9/2015,1104.57
16/9/2015,1120.74
17/9/2015,1118.34
18/9/2015,1136.95
21/9/2015,1132.47
22/9/2015,1126.34
23/9/2015,1131.38
24/9/2015,1154.69
25/9/2015,1144.4
28/9/2015,1133.07
29/9/2015,1131.8
30/9/2015,1114.34
1/10/2015,1115.17
2/10/2015,1138.65
5/10/2015,1135.47
6/10/2015,1149.78
7/10/2015,1146.93
8/10/2015,1144.59
9/10/2015,1157.55
12/10/2015,1161.3
13/10/2015,1166.55
14/10/2015,1176.8
15/10/2015,1185.65
16/10/2015,1182.28
19/10/2015,1171.05
20/10/2015,1178.09
21/10/2015,1166.13
22/10/2015,1168.24
23/10/2015,1163.05
26/10/2015,1166.49
27/10/2015,1167.15
28/10/2015,1180.18
29/10/2015,1150.88
30/10/2015,1141.05
2/11/2015,1135.34
3/11/2015,1123.97
4/11/2015,1114.69
5/11/2015,1106.84
6/11/2015,1087.8
9/11/2015,1089.55
10/11/2015,1090.8
11/11/2015,1087.8
12/11/2015,1079.24
13/11/2015,1082.4
16/11/2015,1085.07
17/11/2015,1075.09
18/11/2015,1068.9
19/11/2015,1082.4
20/11/2015,1079.34
